date,firm,n,sd,source,FPOE,GRUENE,NEOS,OEVP,SPOE,TS,Jetzt
2014-08-09,Gallup,400.0,"0,049",http://www.ots.at/presseaussendung/OTS_20140809_OTS0002/profil-umfrage-fpoe-weiter-nummer-eins-oevp-nur-noch-19,28,14,10,19,25,1,
2014-08-09,Unique Research,500.0,"0,043",http://www.ots.at/presseaussendung/OTS_20140809_OTS0002/profil-umfrage-fpoe-weiter-nummer-eins-oevp-nur-noch-19,29,13,10,19,25,2,
2014-08-16,IMAS,1000.0,"0,031",http://www.krone.at/Oesterreich/Faymann-SPOe_in_Umfrage_wieder_auf_Platz_eins-Strache_Zweiter-Story-415857,24,14,8,22,26,"1,5",
2014-08-22,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/Heisser-Herbst-fuer-Spindelegger/155078294,27,14,11,19,25,1,
2014-08-26,Market,401.0,"0,048",http://derstandard.at/2000004805786/Koalitionsparteien-erreichen-zusammen-nur-42-Prozent,28,14,10,19,23,1,
2014-08-30,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/Heisses-Duell-um-Kanzler/155974508,28,15,10,19,25,1,
2014-09-04,Unique Research,800.0,"0,034",http://www.oe24.at/oesterreich/politik/Mitterlehner-bei-Kanzler-Frage-vorne/156671076,26,11,10,24,25,2,
2014-09-04,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/Mitterlehner-bei-Kanzler-Frage-vorne/156671076,28,15,9,20,25,1,
2014-09-13,Gallup,400.0,"0,049",http://www.profil.at/articles/1437/980/377956/umfrage-spoe-oevp-fpoe-mitterlehner-faymann,27,15,9,21,25,1,
2014-09-13,Unique Research,500.0,"0,043",http://www.profil.at/articles/1437/980/377956/umfrage-spoe-oevp-fpoe-mitterlehner-faymann,26,12,9,25,25,2,
2014-09-18,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/Mitterlehner-Effekt-bringt-OeVP-starken-Zugewinn/158326784,26,15,8,23,25,,
2014-09-19,AKonsult,600.0,"0,04",http://www.meinbezirk.at/land-oesterreich/politik/polit-umfrage-fpoe-nun-vor-spoe-und-oevp-d1086065.html,26,14,9,24,25,2,
2014-09-25,Hajek,1000.0,"0,031",http://atv.at/dynamic/get_asset.php?a=cms%2Fmedia_items%2Fbinary_file%2F182115.PDF&d=download&f=Analyse+%C3%96sterreich+Trend+Sonntagsfrage.PDF&h=c23431cd35b5c035a2bb292f617a817ee5b037db,26,13,9,24,24,3,
2014-10-02,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/OeSTERREICH-Umfrage-Dreikampf-um-Platz-eins/159897699,26,15,8,24,25,,
2014-10-10,Gallup,400.0,"0,049",,26,14,8,24,25,,
2014-10-10,Market,404.0,"0,048",http://derstandard.at/2000006698660/OeVP-holt-unter-Mitterlehner-leicht-auf,26,16,10,21,22,,
2014-10-18,Unique Research,500.0,"0,043",http://www.profil.at/articles/1442/980/378221/umfrage-spoe-oevp-fpoe,26,12,9,25,25,2,
2014-10-19,IMAS,,,http://www.krone.at/Oesterreich/OeVP_Mit_Mitterlehner_Umfragetief_ueberwunden-Dreikampf_um_Platz_1-Story-423751,24,13,8,24,25,2,
2014-10-23,Gallup,400.0,"0,049",,25,14,8,24,25,,
2014-10-23,meinungsraum.at,800.0,"0,034",,26,12,9,25,25,1,
2014-10-31,Gallup,,,http://m.oe24.at/oesterreich/politik/Sonntagsfrage-Jetzt-sind-alle-auf-Platz-1/163497908,26,14,6,25,25,,
2014-11-14,Gallup,400.0,"0,049",,24,14,7,25,25,,
2014-11-15,Unique Research,500.0,"0,043",http://www.profil.at/articles/1446/980/378477/umfrage-spoe-oevp-mitterlehner-kanzlerfrage-faymann,26,12,7,27,27,1,
2014-11-22,OGM,806.0,"0,034",http://neuwal.com/wahlumfragen/images/screenshots/20141123.kurier.png,25,14,7,27,25,1,
2014-11-23,Market,447.0,"0,046",http://mobil.derstandard.at/2000008524574/Faymann-und-die-SPOe-vor-Parteitag-im-Umfrage-Tief,25,16,9,23,22,1,
2014-11-27,Gallup,400.0,"0,049",http://www.news.at/a/spoe-umfrage-tief-vor-parteitag,25,14,7,25,25,,
2014-11-27,Hajek,1000.0,"0,031",http://www.news.at/a/spoe-umfrage-tief-vor-parteitag,26,12,7,28,24,1,
2014-11-27,meinungsraum.at,500.0,"0,043",http://www.news.at/a/spoe-umfrage-tief-vor-parteitag,27,15,7,24,23,1,
2014-12-05,Gallup,400.0,"0,049",http://epaper.heute.at/#/documents/141205_HEU/4,25,14,7,26,24,,
2014-12-05,Unique Research,800.0,"0,034",http://epaper.heute.at/#/documents/141205_HEU/4,25,12,8,28,25,0,
2014-12-18,Gallup,800.0,"0,034",http://www.oe24.at/oesterreich/politik/SPOe-stuerzt-ab-OeVP-zieht-davon/169388023,26,13,7,27,23,,
2014-12-20,IMAS,1000.0,"0,032",http://www.profil.at/articles/1451/980/378723/umfrage-oevp-platz-1-spoe-fpoe,25,14,4,26,26,2,
2014-12-20,Unique Research,500.0,"0,043",http://www.profil.at/articles/1451/980/378723/umfrage-oevp-platz-1-spoe-fpoe,25,12,8,28,25,1,
2014-12-29,AKonsult,602.0,"0,04",http://www.meinbezirk.at/epaper/bezirkszeitung-alsergrund-ausgabe-12015-e19167.html,26,14,8,26,24,1,
2015-01-01,Market,422.0,"0,047",http://kurier.at/politik/inland/ausblick-auf-2015-wahlen-hypo-steuerreform/105.537.404,26,15,8,23,23,1,
2015-01-01,OGM,800.0,"0,034",http://kurier.at/politik/inland/ausblick-auf-2015-wahlen-hypo-steuerreform/105.537.404,26,14,7,26,25,1,
2015-01-09,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/Umfrage-FPOe-wieder-auf-Platz-1/171913750,27,13,6,26,24,,
2015-01-22,Gallup,400.0,"0,049",http://m.oe24.at/oesterreich/politik/Django-Effekt-ist-verpufft/173672091,26,13,7,25,25,,
2015-01-24,Unique Research,500.0,"0,043",http://www.profil.at/articles/1504/980/378932/umfrage-fpoe-platz-spoe-oevp,28,12,7,26,26,1,
2015-01-31,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/Kanzlerfrage-Ringen-um-Platz-1/174807786,26,13,7,25,25,,
2015-02-06,Market,405.0,"0,048",http://derstandard.at/2000011391049/Mitterlehner-in-Kanzlerfrage-klar-vor-Faymann,26,15,8,24,22,1,
2015-02-12,meinungsraum.at,500.0,"0,043",http://www.news.at/politik,27,12,7,24,25,1,
2015-02-13,Gallup,400.0,"0,049",http://m.oe24.at/oesterreich/politik/SPOe-wieder-auf-Platz-1/176574614,26,13,7,25,26,,
2015-02-21,Unique Research,500.0,"0,043",,26,12,8,26,26,1,
2015-02-22,IMAS,1000.0,"0,031",,25,14,5,26,27,1,
2015-02-27,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/Strache-auf-Platz-1/178449125,26,13,8,24,25,,
2015-03-08,Market,458.0,"0,045",http://derstandard.at/2000012654315/Nur-jeder-Fuenfte-glaubt-dass-Regierung-Probleme-im-Griff-hat,27,16,7,23,22,,
2015-03-10,AKonsult,604.0,"0,039",http://www.meinbezirk.at/wien-01-innere-stadt/politik/polit-umfrage-fpoe-mit-27-prozent-vor-spoe-und-oevp-d1273219.html,27,13,6,25,25,,
2015-03-12,Hajek,500.0,"0,043",http://t.co/N4bADs98qR,26,12,7,27,24,2,
2015-03-13,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/FPOe-gewinnt-SPOe-und-OeVP-stabil/180362506,27,13,7,24,25,,
2015-03-20,Gallup,400.0,,http://www.oe24.at/oesterreich/politik/Steuerreform-Turbo-fuer-Regierung/181258635,26,13,6,25,26,,
2015-03-21,Unique Research,500.0,"0,043",http://www.profil.at/oesterreich/umfrage-mehrheit-keine-entlastung-steuerreform-5567134,24,13,8,26,25,2,
2015-03-27,Unique Research,800.0,"0,034","http://www.heute.at/news/politik/art23660,1139817",24,12,7,27,26,2,
2015-03-29,Market,419.0,"0,047",http://derstandard.at/2000013605940/Steuerreform-bringt-Koalition-leichtes-Umfrage-Plus,26,15,6,24,23,1,
2015-04-01,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/Umfrage-SPOe-und-OeVP-vor-FPOe/182998316,25,12,7,26,26,,
2015-04-10,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/Dreikampf-um-Platz-1/184103751,25,13,6,26,26,,
2015-04-17,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/Drei-Parteien-an-Spitze/184888771,26,12,6,26,26,,
2015-04-18,IMAS,1000.0,,,25,13,5,27,28,1,
2015-04-25,Unique Research,500.0,,http://www.profil.at/oesterreich/umfrage-spoe-fpoe-faymann-strache-5619926,26,14,6,24,27,2,
2015-05-10,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/Strache-bedroht-Faymann-Haeupl/187806387,26,13,6,25,26,,
2015-05-14,Gallup,400.0,"0,049",http://m.oe24.at/oesterreich/politik/Strache-jetzt-allein-an-der-Spitze/188372424,26,14,6,25,25,,
2015-05-21,Unique Research,500.0,"0,043",http://www.profil.at/oesterreich/umfrage-fpoe-vor-spoe-und-oevp-5655059,27,13,6,25,26,1,
2015-05-30,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/Umfrage-Strache-zieht-davon/190468310,27,13,5,25,26,,
2015-06-04,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/Nach-Wahltriumpf-zieht-FPOe-weit-davon/191025423,28,13,6,24,25,,
2015-06-06,Market,400.0,"0,049",http://derstandard.at/2000017015160/FPOe-fuenf-Prozentpunkte-vor-den-einzelnen-Koalitionsparteien,28,15,6,23,23,1,
2015-06-10,Hajek,500.0,"0,043",http://www.ots.at/presseaussendung/OTS_20150611_OTS0069/atv-oesterreich-trend-fpoe-klar-auf-platz-1-43-halten-strache-partei-fuer-regierungsfaehig,28,15,6,25,23,1,
2015-06-15,IMAS,1000.0,"0,031",http://www.krone.at/Oesterreich/SPOe._OeVP_und_FPOe_Parteien_erstmals_gleich_stark-Sonntagsfrage-Story-458021,26,14,4,26,26,1,
2015-06-19,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/FPOe-zieht-allen-davon/192913403,28,15,5,24,24,,
2015-06-20,Unique Research,500.0,"0,043",http://www.profil.at/oesterreich/umfrage-fpoe-an-erster-stelle-5711900,28,15,7,24,23,1,
2015-06-23,IFES,1000.0,"0,031",http://kurier.at/politik/inland/angst-vor-abstieg-hat-den-mittelstand-erfasst/137.853.124,27,16,4,23,24,,
2015-06-26,Unique Research,800.0,"0,034",http://epaper.heute.at/#/documents/150626_HEU/6,29,15,6,23,24,1,
2015-07-03,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/FP-wuerde-bei-Wahl-siegen/194755609,28,15,6,24,23,,
2015-07-12,IMAS,1000.0,,,27,13,4,26,26,2,
2015-07-17,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/Strache-zieht-weiter-davon/196552684,29,15,7,22,23,,
2015-07-25,Unique Research,500.0,"0,043",http://www.profil.at/oesterreich/umfrage-fpoe-strache-5773301,30,13,8,23,24,1,
2015-07-31,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/FPOe-Affaere-schadet-Strache-nicht/198426162,29,14,7,23,23,,
2015-08-19,Market,400.0,"0,049",http://derstandard.at/2000020801434/Zwei-Drittel-sehen-Oesterreich-auf-falschem-Kurs,29,16,6,22,23,1,
2015-08-21,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/Strache-klar-vorn-SPOe-holt-aber-auf/201217756,29,13,8,23,24,,
2015-08-22,Unique Research,500.0,"0,043",http://www.profil.at/oesterreich/umfrage-fpoe-erster-5822911,31,13,7,23,22,,
2015-08-23,IMAS,1000.0,"0,031",http://www.krone.at/Politik/Die_drei_Kopf_an_Kopf._Stronach._NEOS_zerbroeseln-IMAS-Umfrage-Story-468424,26,13,5,26,26,2,
2015-09-05,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/FPOe-erstmals-bei-30Prozent/202956050,30,13,6,22,25,,
2015-09-18,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/Umfrage-SPOe-stabil-FPOe-zieht-weg/204809487,32,12,6,21,25,,
2015-09-19,Unique Research,500.0,"0,043",http://www.ots.at/presseaussendung/OTS_20150919_OTS0002/profil-umfrage-jeder-dritte-wuerde-fpoe-waehlen,33,14,6,21,23,,
2015-09-20,Market,400.0,"0,049",http://derstandard.at/2000022497300/Fluechtlingsthema-katapultiert-Strache-auf-Platz-eins,32,15,4,23,22,1,
2015-10-01,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/Platz-1-FPOe-schon-bei-33-Prozent/206594836,33,13,6,20,24,,
2015-10-15,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/Strache-ist-nicht-zu-stoppen/208393113,33,14,7,20,23,,
2015-10-19,Market,416.0,"0,048",http://derstandard.at/2000024078595/Faymann-in-Kanzlerfrage-nur-Dritter,30,15,5,22,24,,
2015-10-22,IMAS,1000.0,"0,031",http://www.krone.at/Politik/Sonntagsfrage_FPOe_schon_klar_vor_SPOe_und_OeVP-Politik_inoffiziell-Story-478348,32,12,5,24,25,1,
2015-10-31,Unique Research,500.0,"0,043",http://www.profil.at/oesterreich/umfrage-fpoe-nummer-strache-fuehrt-kanzlerfrage-5966176,32,15,7,19,24,,
2015-11-05,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/Umfrage-Strache-laesst-nach/210921577,32,13,7,21,24,,
2015-11-19,Gallup,400.0,"0,049",http://m.oe24.at/oesterreich/politik/FPOe-wieder-im-Aufwind/212741902,33,12,7,21,24,,
2015-11-21,Unique Research,500.0,"0,043",http://www.profil.at/oesterreich/umfrage-fpoe-nummer-6085212,32,13,9,20,22,,
2015-12-17,Gallup,400.0,"0,049",http://m.oe24.at/oesterreich/politik/Koalition-schwaechelt-FPOe-meilenweit-vorn/216486360,33,12,8,21,23,,
2015-12-19,Unique Research,500.0,"0,043",http://www.profil.at/oesterreich/umfrage-oevp-spoe-fpoe-6161464,31,13,8,24,22,,
2015-12-20,IMAS,1000.0,"0,031",http://www.krone.at/Oesterreich/FPOe-Chef_Strache_bleibt_weiter_im_Umfrage-Hoch-Wegen_Fluechtlingen-Story-487756,27,13,5,25,26,1,
2016-01-17,Gallup,400.0,"0,049",http://m.oe24.at/oesterreich/politik/FPOe-zieht-mit-34-klar-davon/220151656,34,11,7,22,22,,
2016-01-23,Unique Research,500.0,"0,043",http://www.profil.at/oesterreich/sonntagsfrage-fpoe-erster-6201750,30,14,8,24,23,,
2016-01-24,Unique Research,800.0,"0,034","http://www.heute.at/news/politik/art23660,1252816",31,13,8,24,22,0,
2016-01-31,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/FPOe-bleibt-weiter-klar-an-der-Spitze/222169710,33,11,7,23,22,,
2016-02-20,Unique Research,500.0,"0,043",http://www.profil.at/oesterreich/umfrage-fpoe-prozentpunkte-regierungsparteien-6240042,32,12,8,24,23,,
2016-03-07,Market,400.0,"0,049",http://derstandard.at/2000032385128/Koalition-und-ihre-Kandidaten-schwaecheln,32,14,5,22,23,,
2016-03-11,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/Straches-Blaue-legen-wieder-zu/227409960,33,12,6,23,23,,
2016-03-19,Unique Research,500.0,"0,043",http://www.profil.at/oesterreich/umfrage-fpoe-staerkste-partei-strache-kanzlerfrage-6276388,32,14,6,24,22,,
2016-04-06,Gallup,400.0,"0,049",http://www.oe24.at/oesterreich/politik/Van-der-Bellen-nur-knapp-vor-Hofer/230748681,33,12,5,24,23,,
2016-04-08,Unique Research,800.0,"0,034",http://epaper.heute.at/#/documents/160408_HEU/4,32,14,7,23,23,,
2016-04-09,OGM,1013.0,"0,03",http://atv.at/oesterreichtrend/,31,14,6,23,23,1,
2016-04-09,Hajek,700.0,"0,037",http://atv.at/oesterreichtrend/,32,15,7,22,22,0,
2016-05-12,Gallup,600.0,"0,04",https://www.epaper-oesterreich.at/pdf.act?pdfToken=Fy2uthwHA-go_IhHnwoA6l4YVz3oHEyACdNuqNhOxw45CC6kOJmboJo8DLfLD004av0yFlOamAsAa5a6fnaF_CtTIFmFw5S12NJqJTovaKc7G-JBsQ1ym4ww9m6B5oVYWHJl_d-ul8vBzMd6ApBhCnfnlJrm82lVyfIZ95OOLO0&downloadFileName=2016-05-12_CITY,34,13,7,22,21,,
2016-05-20,Gallup,600.0,"0,04",http://www.oe24.at/oesterreich/politik/Umfrage-Kern-zieht-jetzt-allen-davon/236301401,33,13,6,22,23,,
2016-05-24,Hajek,800.0,"0,034",http://www.ots.at/presseaussendung/OTS_20160522_OTS0023/atv-sonntagsfrage-zur-nationalratswahl-mit-kern-effekt,34,13,8,18,26,,
2016-06-05,Gallup,600.0,"0,04",http://www.oe24.at/oesterreich/politik/Umfrage-zu-Kern-Start-54-sind-zufrieden/238436303,34,13,6,21,24,,
2016-06-10,Gallup,600.0,"0,04",http://www.oe24.at/oesterreich/politik/Kern-Effekt-light-fuer-SPOe/239027342,34,12,6,21,25,,
2016-06-18,Unique Research,500.0,,http://www.ots.at/presseaussendung/OTS_20160618_OTS0006/profil-umfrage-kern-in-kanzlerfrage-voran,34,14,7,19,25,,
2016-06-19,OGM,789.0,"0,035",http://kurier.at/politik/inland/neuwahl-start-statt-neustart/205.222.734,33,12,6,22,25,,
2016-06-26,Hajek,700.0,"0,037",http://atv.at/oesterreichtrend/,35,14,7,18,24,1,
2016-07-09,Gallup,600.0,"0,04",http://www.oe24.at/oesterreich/politik/Umfrage-OeVP-faellt-unter-20-Prozent/242772460,34,12,8,19,25,,
2016-07-16,Unique Research,500.0,"0,043",http://www.profil.at/oesterreich/umfrage-kern-kanzlerfrage-spoe-7176638,35,14,6,20,24,,
2016-07-31,Gallup,600.0,"0,04",,35,12,7,19,25,,
2016-08-12,Gallup,600.0,"0,04",http://www.oe24.at/oesterreich/politik/Umfrage-Duell-der-Koalitionen/247270066,35,11,7,19,25,,
2016-08-20,SORA,824.0,"0,034",http://www.profil.at/oesterreich/umfrage-spoe-oevp-abstand-fpoe-7531722,34,14,4,18,28,,
2016-08-20,Unique Research,500.0,"0,043",http://www.profil.at/oesterreich/umfrage-spoe-oevp-abstand-fpoe-7531722,33,12,7,21,26,,
2016-08-21,Market,400.0,"0,049",http://derstandard.at/2000043147118/68-Prozent-der-Oesterreicher-sehen-das-Land-auf-falschem-Kurs,34,12,8,18,25,1,
2016-08-28,OGM,778.0,"0,035",http://www.oe24.at/oesterreich/politik/Wer-siegt-bei-Neuwahl/249181074,33,12,6,21,26,,
2016-08-28,Gallup,600.0,"0,04",http://www.oe24.at/oesterreich/politik/Wer-siegt-bei-Neuwahl/249181074,35,11,7,20,25,,
2016-09-02,Hajek,700.0,"0,037",http://atv.at/oesterreichtrend/,34,12,6,21,26,0,
2016-09-09,Unique Research,800.0,"0,034",http://www.oe24.at/oesterreich/politik/Umfrage-VdB-holt-auf/250641806,35,12,6,19,26,0,
2016-09-09,Gallup,600.0,"0,04",http://www.oe24.at/oesterreich/politik/Umfrage-VdB-holt-auf/250641806,34,11,7,20,26,,
2016-09-17,Unique Research,500.0,"0,043",http://www.oe24.at/oesterreich/politik/Umfrage-FPOe-zieht-davon/251574387,33,13,7,20,26,,
2016-09-17,Gallup,800.0,"0,034",http://www.oe24.at/oesterreich/politik/Umfrage-FPOe-zieht-davon/251574387,35,11,7,19,26,,
2016-09-25,Gallup,800.0,"0,034",,34,11,7,19,27,,
2016-10-09,Gallup,800.0,"0,034",http://www.oe24.at/oesterreich/politik/Umfrage-Kampf-um-den-1-Platz/254177775,34,12,6,19,27,,
2016-10-15,Unique Research,500.0,"0,043",http://www.profil.at/oesterreich/umfrage-spoe-fpoe-7642265,34,12,6,18,28,,
2016-10-22,Gallup,800.0,"0,034",http://www.oe24.at/oesterreich/politik/Umfrage-Schwarz-stuerzt-ab/257385904,34,12,6,19,27,,
2016-11-04,AKonsult,607.0,"0,039",http://www.meinbezirk.at/land-oesterreich/politik/donald-trump-unten-durch-norbert-hofer-und-fpoe-oben-auf-d1919869.html?cp=Kurationsbox,33,12,7,22,25,1,
2016-11-05,Gallup,800.0,"0,034",http://www.oe24.at/oesterreich/politik/Umfrage-Schwarz-stuerzt-ab/257385904,35,12,6,18,27,,
